(7.42207e-05,6.74655e-05)
(-2.13064e-05,2.84423e-05)
(9.61677e-06,1.30055e-05)
(0.000281961,-0.000167249)
(-0.000163693,-0.000297797)
(1.1361e-05,-3.26127e-06)
(-1.71627e-06,-6.21528e-06)
(8.43382e-06,-1.14412e-05)
(-1.42664e-05,-1.29024e-05)
(0.000137062,0.000869632)
(0.000629417,0.000136408)
(-4.48404e-05,6.08296e-05)
(7.58507e-05,6.85988e-05)
(-2.18553e-05,2.96485e-05)
(9.84357e-06,1.34392e-05)
(0.000292937,-0.000177973)
(-0.000169449,-0.000302424)
(1.19882e-05,-3.61823e-06)
(-1.84861e-06,-6.37914e-06)
(8.68455e-06,-1.19853e-05)
(-1.45972e-05,-1.31345e-05)
(0.000148002,0.00088955)
(0.000639182,0.000140954)
(-4.61735e-05,6.37227e-05)
(7.76095e-05,6.98326e-05)
(-2.24322e-05,3.0958e-05)
(1.00863e-05,1.39142e-05)
(0.000304769,-0.000189807)
(-0.000175657,-0.000307475)
(1.2678e-05,-4.02333e-06)
(-1.99415e-06,-6.55859e-06)
(8.92387e-06,-1.25214e-05)
(-1.49197e-05,-1.33626e-05)
(0.000159001,0.000908434)
(0.000648619,0.000145235)
(-4.74459e-05,6.65728e-05)
(7.93243e-05,7.10457e-05)
(-2.29794e-05,3.22432e-05)
(1.03213e-05,1.43845e-05)
(0.000316297,-0.000201606)
(-0.000181713,-0.000312462)
(1.33638e-05,-4.4385e-06)
(-2.13891e-06,-6.73639e-06)
(9.03561e-06,-1.27776e-05)
(-1.50733e-05,-1.34719e-05)
(0.000164335,0.000917217)
(0.000653072,0.000147215)
(-4.804e-05,6.79352e-05)
(8.01409e-05,7.16265e-05)
(-2.3234e-05,3.2856e-05)
(1.04323e-05,1.46101e-05)
(0.000321764,-0.000207295)
(-0.000184589,-0.000314851)
(1.36938e-05,-4.64259e-06)
(-2.20864e-06,-6.82181e-06)
(9.09394e-06,-1.29129e-05)
(-1.5154e-05,-1.35295e-05)
(0.000167171,0.000921793)
(0.000655409,0.000148243)
(-4.83501e-05,6.86546e-05)
(8.05701e-05,7.19326e-05)
(-2.33665e-05,3.31792e-05)
(1.04905e-05,1.47295e-05)
(0.00032464,-0.000210312)
(-0.000186103,-0.000316114)
(1.38685e-05,-4.75179e-06)
(-2.24559e-06,-6.86702e-06)
(9.15771e-06,-1.30621e-05)
(-1.52428e-05,-1.35929e-05)
(0.000170311,0.000926788)
(0.000657974,0.000149363)
(-4.86892e-05,6.94477e-05)
(8.10421e-05,7.227e-05)
(-2.35112e-05,3.35352e-05)
(1.05545e-05,1.48612e-05)
(0.000327801,-0.000213646)
(-0.000187768,-0.000317508)
(1.40616e-05,-4.87333e-06)
(-2.28644e-06,-6.91695e-06)
(9.21532e-06,-1.3198e-05)
(-1.53236e-05,-1.36507e-05)
(0.000173186,0.000931295)
(0.000660301,0.000150371)
(-4.89954e-05,7.01703e-05)
(8.14713e-05,7.25772e-05)
(-2.36417e-05,3.38592e-05)
(1.06125e-05,1.49814e-05)
(0.000330672,-0.000216693)
(-0.000189281,-0.000318778)
(1.4238e-05,-4.98511e-06)
(-2.32376e-06,-6.96253e-06)
(9.27258e-06,-1.33342e-05)
(-1.54043e-05,-1.37086e-05)
(0.000176079,0.000935769)
(0.000662623,0.000151369)
(-4.92999e-05,7.08944e-05)
(8.19005e-05,7.2885e-05)
